,energy_pred,uncert_pred,energy,event_no
0,200.13565063476562,200.01129150390625,231.1678466796875,6318298.0
1,307.4165954589844,307.2734375,398.005615234375,4574756.0
2,295.853759765625,295.64373779296875,305.5405578613281,276269.0
3,258.7826232910156,258.6426696777344,245.8971405029297,5852786.0
4,329.049560546875,328.91986083984375,332.5090026855469,3916746.0
5,227.1336212158203,227.07138061523438,203.65066528320312,4232367.0
6,333.3662109375,332.88934326171875,311.54608154296875,6168743.0
7,213.9591064453125,213.95677185058594,201.79510498046875,7488668.0
8,204.38612365722656,203.8816375732422,196.14308166503906,518094.0
9,289.8990478515625,289.79852294921875,273.06768798828125,2053006.0
10,224.6198272705078,224.269287109375,217.89295959472656,3169160.0
11,206.86412048339844,206.6424102783203,199.03231811523438,1751411.0
12,296.2588195800781,296.0182800292969,337.4736022949219,7513900.0
13,232.4161376953125,232.32835388183594,265.236328125,5750203.0
14,280.0975646972656,279.5596008300781,266.3095703125,7427489.0
15,306.3077697753906,305.93328857421875,293.33099365234375,3011943.0
16,327.8567810058594,327.5792236328125,310.64398193359375,426443.0
17,206.00607299804688,205.64952087402344,246.67819213867188,4142395.0
18,229.88658142089844,229.55880737304688,223.72637939453125,7549037.0
19,234.07473754882812,233.63670349121094,217.0298309326172,1422945.0
20,315.44061279296875,315.35076904296875,316.8382873535156,730851.0
21,261.50238037109375,261.43572998046875,239.28466796875,5822268.0
22,346.3396911621094,346.0527038574219,359.4394226074219,1967713.0
23,200.5234832763672,200.3921356201172,187.80987548828125,7082609.0
24,241.6671142578125,241.3015899658203,246.14027404785156,6188845.0
25,198.4117431640625,198.30490112304688,199.4023895263672,7023555.0
26,221.3662567138672,221.2669219970703,240.0209197998047,7992367.0
27,249.01101684570312,248.6546173095703,243.14019775390625,4132025.0
28,251.85377502441406,251.69100952148438,259.7000427246094,1709197.0
29,326.009521484375,326.01678466796875,343.9540710449219,1525998.0
30,318.0309143066406,317.72662353515625,331.97564697265625,4958730.0
31,260.62249755859375,260.45074462890625,262.4125061035156,5110025.0
32,313.8424072265625,313.757568359375,316.1357727050781,6814665.0
33,257.2506408691406,257.1845703125,288.3614501953125,3807957.0
34,225.19479370117188,224.92962646484375,207.9392547607422,3405447.0
35,301.9098815917969,301.44512939453125,327.197998046875,5823302.0
36,224.33677673339844,224.27867126464844,216.11598205566406,5509042.0
37,230.83558654785156,230.78993225097656,240.50759887695312,26882.0
38,214.01419067382812,213.79954528808594,245.30247497558594,5841484.0
39,246.17393493652344,246.03817749023438,235.86129760742188,7444414.0
40,206.34217834472656,206.3119354248047,185.37887573242188,7408558.0
41,282.76348876953125,282.54644775390625,287.8211669921875,420508.0
42,294.4880676269531,293.8169860839844,311.952880859375,6331921.0
43,215.23321533203125,215.2109832763672,225.04202270507812,1033318.0
44,333.9850158691406,333.6376953125,332.6327209472656,4111717.0
45,220.69717407226562,220.5876922607422,213.00868225097656,6058366.0
46,218.13990783691406,217.9805145263672,222.4397430419922,3450101.0
47,240.97557067871094,240.4947967529297,229.2916259765625,6865704.0
48,225.58396911621094,225.5080108642578,249.40101623535156,5820638.0
49,333.1339111328125,332.62158203125,334.80792236328125,2338298.0
50,325.6637268066406,325.456298828125,310.1532287597656,4400412.0
51,229.51480102539062,229.4748077392578,264.46636962890625,1404641.0
52,302.86376953125,302.76617431640625,336.0983581542969,4693918.0
53,202.32752990722656,202.30679321289062,180.0513916015625,4307480.0
54,224.53799438476562,224.24134826660156,243.9894561767578,3977946.0
55,239.74925231933594,239.8446502685547,247.4591064453125,6510551.0
