,stopped_muon_pred,stopped_muon,event_no
0,9.607599622540874e-07,0.0,2953797.0
1,0.024158278480172157,0.0,534906.0
2,0.9860907793045044,1.0,582170.0
3,0.9976957440376282,1.0,3548175.0
4,2.4711703190405387e-06,0.0,1137659.0
5,0.9999998807907104,1.0,543914.0
6,3.5659912522856274e-12,0.0,4573595.0
7,7.565415308108392e-13,0.0,5146105.0
8,0.9999995231628418,1.0,3306574.0
9,0.9980271458625793,1.0,423223.0
10,0.9999191761016846,1.0,1135453.0
11,1.9855841417674297e-15,0.0,5051069.0
12,4.062402270046256e-13,0.0,1587051.0
13,2.2333934168727865e-07,0.0,4900629.0
14,0.0005074950749985874,0.0,4250196.0
15,4.1805636690025094e-16,0.0,3540423.0
16,0.9855692982673645,1.0,918370.0
17,0.016560986638069153,0.0,684610.0
18,6.299152280515863e-13,0.0,68039.0
19,0.8850433230400085,1.0,1686603.0
20,2.5730367269716226e-05,0.0,3774749.0
21,0.9999991655349731,1.0,2877154.0
22,0.04251650720834732,0.0,2990938.0
23,0.0003336612426210195,0.0,259110.0
24,1.418631212501964e-09,0.0,294207.0
25,0.0007063110242597759,0.0,572133.0
26,0.0019947420805692673,0.0,4283639.0
27,0.06602654606103897,0.0,66640.0
28,0.9884757995605469,1.0,956463.0
29,1.0,1.0,269976.0
30,1.2506090385500102e-08,0.0,4554927.0
31,4.744845128238327e-14,0.0,2057189.0
32,0.7725481986999512,0.0,5403782.0
33,3.046540003235308e-14,0.0,4693115.0
34,0.9999251365661621,1.0,1469555.0
35,0.9996814727783203,1.0,553459.0
36,0.20502720773220062,0.0,1967214.0
37,6.951243847197475e-08,0.0,509440.0
38,1.7882081371212166e-09,0.0,3922891.0
39,0.9999804496765137,1.0,1713787.0
40,1.364602238808894e-16,0.0,2046476.0
41,0.6697058081626892,1.0,2631193.0
42,0.6881581544876099,1.0,2631459.0
43,0.9229888319969177,0.0,3829155.0
44,5.52979742142576e-16,0.0,3747337.0
45,0.0008339169435203075,0.0,3786754.0
46,8.603147278561229e-19,0.0,3190741.0
47,0.9999951124191284,1.0,1901286.0
48,0.014277108013629913,0.0,4953510.0
49,9.565587970428169e-05,0.0,3254277.0
50,0.9999878406524658,1.0,2511119.0
51,0.5091650485992432,1.0,1258877.0
52,1.2284686157215674e-08,0.0,4747722.0
53,1.0524261597311124e-05,0.0,4142354.0
54,2.9220214166044214e-14,0.0,3794582.0
55,0.5608668923377991,1.0,1361093.0
56,0.9999926090240479,1.0,2253194.0
57,0.8994324207305908,1.0,1366080.0
58,0.23031596839427948,0.0,3453886.0
59,0.9993025064468384,1.0,579278.0
60,2.5586431302675183e-13,0.0,2572109.0
61,1.0006257492172778e-15,0.0,3961946.0
62,0.993120551109314,1.0,2733643.0
63,0.7992570400238037,1.0,560633.0
64,2.0253982952606053e-12,0.0,5411722.0
65,0.9954773783683777,1.0,2485167.0
66,3.4515026072767796e-06,0.0,5351501.0
67,2.4278631371998927e-07,0.0,996076.0
68,0.12472274154424667,0.0,3317258.0
69,0.10542665421962738,0.0,5140387.0
